nombre;distancia_P_Ayuntamiento;distancia_CAC;distancia_Bioparc;distancia_Estacion;distancia_Malvarrosa;distancia_Torres;distancia_Universitat;distancia_Puerto;distancia_Albufera
LA RAIOSA;1,60859E+14;2,79193E+14;2,61287E+14;1,16988E+14;5,72708E+14;2,57464E+13;4,08611E+14;6,05976E+14;1,45201E+14
SAFRANAR;2,18134E+14;3,7262E+14;2,2159E+14;1,89084E+14;6,50937E+14;2,94613E+13;4,88156E+14;6,99408E+13;1,49139E+14
SANT ISIDRE;3,01573E+14;4,32385E+13;2,78547E+14;2,69458E+14;7,30951E+13;3,77977E+14;5,67371E+14;7,55987E+14;1,46039E+14
MALILLA;2,80055E+13;2,34101E+14;4,23093E+13;2,2767E+14;5,99552E+14;3,84776E+14;4,41943E+14;5,31287E+14;1,29337E+14
BENICALAP;2,86556E+14;5,27246E+14;1,86059E+14;3,33033E+14;5,50698E+14;2,00839E+14;4,45011E+14;7,9301E+14;1,84273E+14
JAUME ROIG;1,74061E+14;3,04108E+14;3,26681E+14;2,18228E+14;3,00007E+14;1,1268E+14;1,7451E+14;5,26301E+14;1,67147E+14
LA PETXINA;1,32597E+14;3,78878E+14;9,83139E+14;1,5406E+14;5,49785E+14;1,45232E+14;3,99931E+14;6,89643E+14;1,63461E+14
SANT MARCEL.LI;3,0155E+14;3,33133E+14;3,80248E+14;2,5265E+14;6,8006E+14;4,01238E+14;5,17533E+14;6,40465E+14;1,33045E+14
FAITANAR;4,29501E+14;5,17596E+14;4,06179E+14;3,91549E+14;8,46754E+14;5,11561E+14;6,82568E+14;8,27591E+14;1,3829E+14
PINEDO;7,74958E+14;5,59839E+14;9,5663E+14;7,28961E+14;8,60733E+13;8,70059E+14;7,70458E+14;5,42909E+14;8,1549E+13
CASTELLAR-L'OLIVERAL;4,97825E+14;3,17982E+14;6,70123E+14;4,49224E+14;6,77534E+13;5,97586E+14;5,5179E+14;4,60138E+14;1,06667E+14
EL FORN D'ALCEDO;4,17017E+14;3,30957E+14;5,4385E+14;3,64605E+14;7,08785E+13;5,21745E+14;5,58856E+14;5,75176E+14;1,1653E+13
MONTOLIVET;1,60704E+14;9,5127E+14;3,82367E+13;1,30686E+14;4,02124E+14;2,45671E+14;2,41753E+14;4,17538E+13;1,42608E+14
CIUTAT DE LES ARTS I DE LES CIENCIES;2,4464E+14;3,25459E+14;4,64134E+12;2,12184E+14;4,08643E+14;3,26847E+13;2,62717E+14;3,52425E+14;1,35633E+14
NA ROVELLA;2,09174E+13;1,08761E+14;4,10472E+14;1,65268E+14;4,6708E+14;3,05876E+14;3,10905E+14;4,29479E+13;1,35889E+14
