Codigo_Ciudad;Codigo_Distrito;Codigo_Barrio;Codigo_Seccion;Nombre_Ciudad;Nombre_Distrito;Nombre_Barrio;Codigo;X2022_persona;X2021_persona;X2020_persona;X2019_persona;X2018_persona;X2017_persona;X2016_persona;X2015_persona;X2022_hogar;X2021_hogar;X2020_hogar;X2019_hogar;X2018_hogar;X2017_hogar;X2016_hogar;X2015_hogar;X2022_consumo;X2021_consumo;X2020_consumo;X2019_consumo;X2018_consumo;X2017_consumo;X2016_consumo;X2015_consumo;X2022_bruta_persona;X2021_bruta_persona;X2020_bruta_persona;X2019_bruta_persona;X2018_bruta_persona;X2017_bruta_persona;X2016_bruta_persona;X2015_bruta_persona;X2022_bruta_hogar;X2021_bruta_hogar;X2020_bruta_hogar;X2019_bruta_hogar;X2018_bruta_hogar;X2017_bruta_hogar;X2016_bruta_hogar;X2015_bruta_hogar
46250;3;3;30;València;Distrito 03;La Petxina;4625003030 València sección 03030;18173;17436;16994;16545;16647;14288;14499;14120;45823;44029;42841;42720;42993;36923;37386;36226;28110;26623;25700;24987;24961;21531;21840;21298;24850;23450;23450;22750;21350;19250;18550;17850;23713;22424;21457;20925;21000;18043;18161;17650
46250;3;3;32;València;Distrito 03;La Petxina;4625003032 València sección 03032;13953;13244;13509;13320;12889;12248;12006;11888;30896;30248;29747;28966;28052;27070;26812;26587;20016;18739;19078;18600;18439;17218;16848;16781;17150;17150;17150;16450;16450;15050;15050;15050;17270;15979;16122;15788;15366;14597;14201;14065
46250;3;4;33;València;Distrito 03;Arrancapins;4625003033 València sección 03033;21144;17346;15466;18329;16911;15903;15212;14130;50548;41062;36668;43831;41327;38260;37115;34781;31589;27288;25436;26906;24641;23211;22483;21189;25550;24150;23450;22050;21350;20650;19250;17850;29558;24295;22549;24726;21970;20496;19455;18060
46250;3;4;34;València;Distrito 03;Arrancapins;4625003034 València sección 03034;22628;22362;20583;21957;20223;19791;18843;18205;55822;55861;50205;54785;49667;49419;47897;47370;33385;33018;30594;32619;29792;29417;27860;27741;26950;26250;24850;26250;26250;24150;23450;22750;30499;30130;27797;29498;27007;26427;25078;24546
46250;3;4;35;València;Distrito 03;Arrancapins;4625003035 València sección 03035;19330;18194;18658;17556;17736;16484;16409;15742;45716;43128;45575;43820;43640;40121;39950;37623;28437;26917;28072;26217;26705;24554;24274;22927;25550;23800;23450;23450;22050;20650;19950;19950;24672;23186;23773;22283;22415;20703;20675;19685
46250;3;4;36;València;Distrito 03;Arrancapins;4625003036 València sección 03036;19193;18094;17770;17341;16896;16453;16152;16157;48193;45788;44409;44422;44220;43308;41831;41534;29325;27692;26911;26889;25769;25014;24510;24663;25550;24150;24150;24850;22750;22050;21350;22050;25723;23868;22834;23104;21675;21032;20356;20295
46250;3;4;37;València;Distrito 03;Arrancapins;4625003037 València sección 03037;18115;17462;16881;15996;14677;14977;15223;15442;42255;40251;39864;39904;37271;37313;38345;37536;26317;25353;24690;23862;22702;22725;22826;22818;24150;23450;22050;21350;20650;19950;18550;19250;23074;22123;20994;20042;18917;19031;19258;19301
46250;3;4;38;València;Distrito 03;Arrancapins;4625003038 València sección 03038;19867;19435;19553;19391;17504;17272;16700;17242;48571;47500;48373;48335;43889;43657;41419;41606;31049;30245;28959;29000;26534;25793;24874;25862;27650;25550;24150;24850;23450;22750;22750;22050;28355;27385;25750;25348;22883;22300;21441;21888
46250;3;4;40;València;Distrito 03;Arrancapins;4625003040 València sección 03040;17891;18109;18140;16711;16658;15832;15090;14534;43754;44074;44163;41757;40487;38573;38370;37766;28965;26938;27095;24874;24281;23476;22373;22295;25550;25550;24850;22750;22050;21350;21350;19250;24974;23178;23019;21316;21157;20130;18909;18684
46250;3;4;41;València;Distrito 03;Arrancapins;4625003041 València sección 03041;17231;16377;15150;15021;14586;13773;13171;13027;40198;36766;34928;35274;33830;32475;30754;30330;25535;23912;22333;22218;21720;20536;19460;19065;24150;22750;20650;20650;19950;18550;17150;17150;21974;20709;18995;18734;18136;17173;16295;15973
46250;3;4;44;València;Distrito 03;Arrancapins;4625003044 València sección 03044;20369;18880;17786;17976;17758;17117;16496;16854;48425;44848;41852;42495;42182;40515;38500;39721;29737;27689;26853;26433;26226;24926;24329;24599;26950;25550;24850;23450;24150;21350;21000;21350;26126;24041;23080;22924;22199;21399;20841;21234
46250;3;4;46;València;Distrito 03;Arrancapins;4625003046 València sección 03046;16850;15660;15526;14970;14574;13836;13319;13149;40130;37406;36830;35626;34836;33178;32425;31827;24530;23115;22360;21931;21314;20189;19914;19095;22750;20650;19950;19250;17850;17150;17150;16450;20956;19772;19113;18454;17892;16928;16233;15962
46250;3;4;47;València;Distrito 03;Arrancapins;4625003047 València sección 03047;17317;16250;16013;16279;15172;14547;14425;14023;41566;38400;38189;38984;36976;35324;35497;34669;24932;24000;23215;24124;22294;21214;21012;20517;22050;20650;19950;20650;18550;18550;17850;17850;21828;21124;19921;20621;19011;17909;17780;17251
46250;3;4;48;València;Distrito 03;Arrancapins;4625003048 València sección 03048;20207;19649;18617;19021;17753;17050;16570;16544;50109;48707;46063;47552;44826;42967;41592;41697;30159;29007;27757;28153;26762;25723;24749;24482;27650;26250;25550;26250;24150;23450;22050;21350;26513;25592;24083;24246;22802;21805;20951;20882
46250;3;4;49;València;Distrito 03;Arrancapins;4625003049 València sección 03049;17557;16544;16454;16271;16153;14972;14817;14809;44109;40098;38777;38788;38557;35750;35961;35059;26609;24532;24330;23781;23663;21979;21827;22163;24850;22750;21350;22050;22050;19250;19250;19250;22893;21057;20643;20270;20177;18749;18479;18339
46250;3;4;50;València;Distrito 03;Arrancapins;4625003050 València sección 03050;18900;18407;18589;18542;17160;17445;16624;16641;43973;42336;41859;41845;38481;38579;37246;36539;28105;26872;27037;27029;25083;25299;24231;23845;25550;24850;24150;23450;22050;21350;20650;19950;24500;23232;23320;23362;21622;21718;20538;20483
46250;3;4;52;València;Distrito 03;Arrancapins;4625003052 València sección 03052;17633;16583;15502;15195;13977;13159;13156;12923;42392;39847;36755;36682;33517;32055;31230;30457;25837;24237;22689;22289;20484;19356;19287;18989;22750;20650;19950;19950;18550;17150;17150;17150;22094;20824;19036;18591;17094;16060;16015;15823
46250;3;4;53;València;Distrito 03;Arrancapins;4625003053 València sección 03053;16031;16004;15290;14650;13398;12944;13157;12615;36461;36951;36033;34477;31851;30959;31332;29061;23615;23072;22250;21569;20055;19034;19285;18550;20650;20650;20650;18550;17850;16450;17150;16450;20178;19702;18859;18136;16778;15893;15922;15200
46250;3;4;55;València;Distrito 03;Arrancapins;4625003055 València sección 03055;23337;22433;20954;21444;23889;20522;19824;19665;54668;51795;49391;51785;58388;49482;48286;49514;34650;32698;30695;31351;34753;30030;28967;29209;29050;27650;26250;26250;26250;25550;24150;24150;31695;29840;27667;28259;31189;26790;25768;25518
46250;4;1;1;València;Distrito 04;Campanar;4625004001 València sección 04001;18099;17271;16935;17322;16783;16350;16056;15370;43076;40940;40396;41471;40667;39588;37773;37054;26724;24944;24425;25175;24360;23914;23273;22334;24850;23450;22750;23450;22750;22050;21350;20650;22679;21390;20807;21434;20875;20282;19935;18909
