Zona,2022_persona,2021_persona,2020_persona,2019_persona,2018_persona,2017_persona,2016_persona,2015_persona,2022_hogar,2021_hogar,2020_hogar,2019_hogar,2018_hogar,2017_hogar,2016_hogar,2015_hogar,2022_consumo,2021_consumo,2020_consumo,2019_consumo,2018_consumo,2017_consumo,2016_consumo,2015_consumo,2022_bruta_persona,2021_bruta_persona,2020_bruta_persona,2019_bruta_persona,2018_bruta_persona,2017_bruta_persona,2016_bruta_persona,2015_bruta_persona,2022_bruta_hogar,2021_bruta_hogar,2020_bruta_hogar,2019_bruta_hogar,2018_bruta_hogar,2017_bruta_hogar,2016_bruta_hogar,2015_bruta_hogar
4602903008 Algemesí sección 03008,12092,11640,10902,10680,10067,9708,9094,8799,28138,26917,25424,25141,24044,22842,21612,20947,17710,17001,15829,15615,14683,14085,13337,12788,16450,16450,15050,15050,14350,13650,12250,12250,14043,13407,12492,12180,11441,10993,10264,9898
4602903009 Algemesí sección 03009,13051,11840,11362,11016,10396,9897,9403,9156,36937,33437,31876,30966,29284,27664,26828,25982,20254,18324,17535,17290,16320,15464,14765,14395,17150,16450,15750,15750,15050,14350,14350,12950,15919,14215,13564,13154,12381,11727,11074,10819
4602903010 Algemesí sección 03010,13865,12819,12441,12119,11357,10675,10504,10093,36296,34067,33060,32721,31176,29162,28697,27687,21247,19626,19217,18859,17792,16967,16344,15751,19950,18550,17850,17150,16450,15050,15050,15050,16895,15468,14941,14565,13536,12676,12438,11923
4602904 Algemesí distrito 04,13341,12499,12485,12162,11376,11004,10520,10337,32643,30654,30573,29964,27969,27437,26579,26047,19580,18603,18458,17966,16869,16326,15867,15318,17850,16450,16450,16450,15050,14350,13650,13650,15904,15062,14786,14397,13447,12971,12530,12150
4602904001 Algemesí sección 04001,17305,15645,15758,14897,13977,13482,13147,12649,41208,37484,38519,36629,34888,33784,33747,33311,25126,23453,23156,21948,20634,20031,19569,18915,23450,21350,21350,19950,18550,17850,17150,16100,21208,20005,19214,18146,16954,16456,15855,15123
4602904002 Algemesí sección 04002,16182,15104,15527,15162,14399,14240,12640,13129,37471,35195,35655,34902,32563,33016,30233,31393,23620,21938,22358,21890,20984,20913,19676,19166,22050,19950,20650,19950,18550,18550,17150,16450,20157,18679,19061,18655,17758,17445,16623,16052
4602904003 Algemesí sección 04003,15033,14555,14016,14020,13018,12434,11913,11761,37560,36041,34973,35051,32896,31144,30209,29999,22381,21635,20912,20805,19448,18391,17835,17663,21350,19950,18550,18550,17850,16450,16450,16450,18341,17723,17011,16940,15641,14895,14303,14113
4602904004 Algemesí sección 04004,13621,12445,13417,12478,11664,11272,11057,10886,32754,29631,32567,29930,27836,26802,26445,26009,19815,19185,19999,18298,17066,16504,16190,15678,17850,17150,15750,15750,15050,14350,13650,13650,16105,15630,15905,14709,13750,13245,12954,12771
4602904005 Algemesí sección 04005,11277,10799,10636,10617,10155,9646,9107,8968,27936,27069,25754,25910,24658,24168,23425,22093,16477,16014,15668,15601,14844,14310,13695,13259,16450,15050,15050,14700,14350,12950,12250,12250,13122,12557,12274,12317,11735,11097,10468,10337
4602904006 Algemesí sección 04006,12318,11724,11158,10718,10125,10079,9746,9147,29814,28651,27240,26708,25180,25075,24295,23003,18179,17410,16747,16192,15407,15175,14694,13705,17150,16450,15750,15750,14350,14350,13650,12950,14328,13596,12867,12339,11683,11582,11218,10481
4602904007 Algemesí sección 04007,10608,9925,9595,9740,8823,8343,8164,8014,27486,25765,24863,25553,23032,22683,22288,21683,15676,14645,14186,14519,13205,12502,12442,12031,14350,13650,12950,13650,12250,12250,11550,10850,12159,11293,10906,11120,10045,9477,9255,9094
4602905 Algemesí distrito 05,6412,5843,5684,5547,4928,4750,4631,4394,20042,18531,17840,17890,15926,15416,15184,14222,10171,9363,9048,8891,7806,7522,7243,6879,8750,8050,8050,8050,7350,6650,5950,5950,6838,6202,6040,5909,5250,5085,4947,4677
4602905001 Algemesí sección 05001,6412,5843,5684,5547,4928,4750,4631,4394,20042,18531,17840,17890,15926,15416,15184,14222,10171,9363,9048,8891,7806,7522,7243,6879,8750,8050,8050,8050,7350,6650,5950,5950,6838,6202,6040,5909,5250,5085,4947,4677
46030 Algímia d'Alfara,13026,12512,12197,11457,10955,10532,9888,9517,33059,31470,30101,28998,26914,26265,25351,24318,19216,18416,17717,16839,16160,15656,14913,14390,17850,16450,15750,15050,14350,13650,12950,12250,15466,14918,14361,13409,12696,12084,11336,10867
4603001 Algimia d'Alfara distrito 01,13026,12512,12197,11457,10955,10532,9888,9517,33059,31470,30101,28998,26914,26265,25351,24318,19216,18416,17717,16839,16160,15656,14913,14390,17850,16450,15750,15050,14350,13650,12950,12250,15466,14918,14361,13409,12696,12084,11336,10867
4603001001 Algímia d'Alfara sección 01001,13026,12512,12197,11457,10955,10532,9888,9517,33059,31470,30101,28998,26914,26265,25351,24318,19216,18416,17717,16839,16160,15656,14913,14390,17850,16450,15750,15050,14350,13650,12950,12250,15466,14918,14361,13409,12696,12084,11336,10867
46031 Alginet,12158,11600,11304,11113,10651,10036,9779,9460,31026,29310,28452,28052,26577,25203,24619,23787,18227,17331,16878,16619,15941,15039,14710,14236,16450,15750,15050,15050,14350,13650,12950,12950,14343,13640,13275,12987,12462,11663,11370,10954
4603101 Alginet distrito 01,13206,12519,12407,11848,11237,10599,10255,9942,33167,31200,30735,29630,27811,26435,25687,25163,19755,18685,18558,17670,16898,15959,15409,14972,17150,16450,16450,15750,15050,14350,13650,13650,15674,14808,14836,13938,13264,12363,11950,11548
4603101001 Alginet sección 01001,13205,12510,12427,12070,11278,10816,10483,10122,32847,30881,30608,30134,28001,26639,26189,25543,19737,18745,18524,18116,16952,16289,15859,15387,17850,17150,17150,16450,15050,15050,13650,13650,15702,14792,14708,14231,13211,12631,12245,11790
4603101002 Alginet sección 01002,13207,12526,12391,11664,11203,10425,10066,9793,33438,31465,30838,29209,27654,26267,25269,24846,19770,18636,18585,17300,16853,15694,15039,14627,17150,16450,16450,15750,15050,14350,13650,13650,15650,14821,14940,13694,13309,12148,11706,11347
4603102 Alginet distrito 02,12433,11876,11429,11209,10776,10186,9976,9524,32053,30588,29219,28850,27470,26150,25757,24770,18663,17692,17034,16756,16100,15284,15047,14414,17150,15750,15050,15050,14350,13650,12950,12950,14811,14098,13461,13147,12663,11929,11694,11083
4603102001 Alginet sección 02001,12017,11423,11455,11192,10824,9955,9711,9562,29307,28159,28191,27664,26659,24674,24189,24056,17693,16707,16817,16387,15908,14634,14368,14056,15750,15050,14350,15050,15050,13650,12950,12950,14034,13226,13231,12854,12411,11424,11122,10959
4603102002 Alginet sección 02002,11824,11660,11615,11613,10997,10469,9951,9753,29033,28453,28574,29091,27261,26209,25329,24574,17295,17181,17115,17291,16394,15599,14938,14761,15750,15750,15050,15050,15050,13650,13650,12950,13822,13647,13526,13488,12763,12167,11527,11303
4603102003 Alginet sección 02003,9782,12189,11309,10970,10615,10113,10118,9364,26077,33049,30118,29264,28016,26863,26833,25256,14553,18393,17082,16594,16006,15394,15440,14367,13650,16450,15050,14350,13650,13650,12950,12250,10927,14718,13524,13069,12718,12017,12072,11005
4603103 Alginet distrito 03,11309,10811,10550,10589,10179,9556,9301,9091,28854,27061,26425,26402,25027,23611,22946,22042,16955,16208,15763,15867,15214,14259,13962,13590,15750,15050,15050,15050,14350,12950,12950,12950,13155,12540,12200,12276,11789,10989,10709,10449
4603103001 Alginet sección 03001,11347,10927,10539,10599,10326,9679,9348,9293,27851,26533,25649,25325,23616,22763,22439,21925,16560,16055,15457,15404,14982,14057,13921,13634,15750,14350,14350,14350,13650,12250,12250,12250,13155,12703,12094,12231,11857,11121,10744,10657
4603103002 Alginet sección 03002,11485,11017,10833,10767,10344,9661,9389,9124,29503,27957,27562,27047,25865,24544,23924,22842,17152,16455,16137,16132,15472,14541,14124,13746,16450,15750,15050,15050,14350,13650,12950,12950,13399,12792,12555,12433,11991,11135,10848,10528
4603103003 Alginet sección 03003,11055,10468,10178,10352,9873,9335,9144,8912,28556,26171,25379,26176,24752,22857,21931,21000,16906,15955,15432,15775,14994,13981,13750,13327,16450,15050,15050,15050,13650,12950,12950,12950,12831,12108,11784,12096,11479,10707,10487,10197
46032 Almàssera,14036,12974,12380,12290,11588,11188,10817,10488,35078,32672,31389,31480,29738,28636,28083,27059,20914,19616,18543,18511,17514,16897,16463,15886,19250,17850,17150,17150,15750,15050,15050,14350,17030,15693,14688,14612,13715,13213,12827,12385
4603201 Almàssera distrito 01,14036,12974,12380,12290,11588,11188,10817,10488,35078,32672,31389,31480,29738,28636,28083,27059,20914,19616,18543,18511,17514,16897,16463,15886,19250,17850,17150,17150,15750,15050,15050,14350,17030,15693,14688,14612,13715,13213,12827,12385
4603201001 Almàssera sección 01001,15036,13230,13267,13931,12612,12227,12306,11691,37604,33275,33369,35175,31882,31109,31254,29833,22357,20894,19856,20633,18719,18196,18303,17359,19950,18550,17850,17850,16450,15750,15050,15050,18935,17012,16033,16906,15124,14644,15099,14310
4603201002 Almàssera sección 01002,14606,13673,12896,12718,12087,11671,11073,11137,36701,34525,33031,32760,31143,30189,29102,28966,21760,20415,19352,19253,18455,17881,17096,17159,19950,19250,17850,17850,16800,16450,15750,15750,17694,16461,15378,15242,14459,13926,13159,13158
