Zona,2022_persona,2021_persona,2020_persona,2019_persona,2018_persona,2017_persona,2016_persona,2015_persona,2022_hogar,2021_hogar,2020_hogar,2019_hogar,2018_hogar,2017_hogar,2016_hogar,2015_hogar,2022_consumo,2021_consumo,2020_consumo,2019_consumo,2018_consumo,2017_consumo,2016_consumo,2015_consumo,2022_bruta_persona,2021_bruta_persona,2020_bruta_persona,2019_bruta_persona,2018_bruta_persona,2017_bruta_persona,2016_bruta_persona,2015_bruta_persona,2022_bruta_hogar,2021_bruta_hogar,2020_bruta_hogar,2019_bruta_hogar,2018_bruta_hogar,2017_bruta_hogar,2016_bruta_hogar,2015_bruta_hogar
4614601001 Xeresa sección 01001,13252,11001,11719,5898,11469,11735,10526,10350,34134,28336,30076,15028,29186,29984,26894,26608,19954,18897,18222,17618,17232,17776,15885,15569,18550,17850,17150,16450,15750,15050,14350,13650,15941,15065,14471,13904,13371,13776,12186,11958
46147 Llíria,12393,11658,11139,10900,10403,9884,9267,9224,31614,29844,28635,28244,27092,25856,24735,24184,18580,17499,16705,16441,15705,14923,14060,13939,17150,15750,15050,15050,14350,12950,12250,12250,14737,13797,13114,12811,12214,11568,10816,10738
4614701 Llíria distrito 01,11248,10612,10252,10216,9553,9037,8473,8557,28297,26659,26010,26206,24857,23660,22997,22338,16589,15793,15097,15193,14211,13376,12613,12679,14350,14350,13650,13650,12250,11550,10850,10850,13161,12477,11923,11836,11101,10461,9790,9896
4614701001 Llíria sección 01001,12956,12446,12399,12129,11479,10685,10078,10053,31201,29106,29132,29147,28214,26756,26400,25684,18857,18329,17849,17608,16699,15635,14753,14740,15750,15750,15050,15050,13650,12250,11550,11200,15498,14995,14741,14377,13672,12666,11902,11814
4614701002 Llíria sección 01002,10109,9447,8893,8971,8317,7898,7346,7474,26212,24908,23765,24068,22489,21351,20456,19825,15075,14179,13350,13608,12601,11815,11091,11182,14350,12950,12950,12950,11550,10850,10150,10150,11603,10878,10141,10181,9453,8937,8308,8509
4614702 Llíria distrito 02,12569,11818,11279,11007,10540,10020,9397,9331,32132,30341,29055,28569,27451,26209,25013,24481,18886,17762,16960,16639,15945,15173,14298,14141,17150,15750,15050,15050,14350,13650,12950,12250,14979,13999,13302,12964,12393,11746,10984,10873
4614702001 Llíria sección 02001,10089,9551,9297,8994,8533,8178,7725,7437,25619,23870,23482,23304,22318,21340,20114,19520,15034,14064,13671,13495,12726,12119,11501,11102,13650,12950,12250,12250,10850,10150,10150,10150,11430,10773,10467,10155,9610,9210,8680,8309
4614702002 Llíria sección 02002,12239,11641,11348,10903,10491,9760,8907,9239,28799,27808,26795,26202,24853,23414,22036,22058,17979,16936,16391,15870,15388,14262,13073,13480,15750,15050,14350,14350,13650,12250,11550,12250,14266,13542,13106,12563,11976,11150,10162,10494
4614702003 Llíria sección 02003,12318,11657,11222,10842,10331,9785,9308,9746,32088,30958,29618,29297,27944,26507,26045,25936,18562,17527,16599,16176,15391,14532,13918,14431,16450,15050,14350,14350,13650,12250,12250,12950,14638,13868,13214,12655,12032,11408,10845,11399
4614702004 Llíria sección 02004,13838,13120,12323,11638,11519,11158,11018,10647,35099,33326,31630,30631,30266,29625,29226,28262,20478,19566,18352,17883,17493,16845,16690,16092,18550,17150,16450,16450,16450,15400,15050,14350,16786,15723,14592,14040,13686,13328,13179,12647
4614702005 Llíria sección 02005,11477,11030,10924,10471,9974,9588,9149,9122,29949,28566,28399,27328,25690,25031,24639,24004,16971,16260,16147,15613,14847,14267,13729,13705,15750,15050,14350,14350,13650,12950,11550,11550,13376,12836,12718,12107,11540,11126,10613,10571
4614702006 Llíria sección 02006,11354,10716,10264,10055,9793,9220,8655,8532,29421,28073,26598,26147,25577,23846,22810,22470,16762,15974,15105,14880,14566,13684,12905,12755,15750,15050,14350,14000,13650,12950,11550,11550,13139,12339,11732,11534,11176,10496,9840,9693
4614702007 Llíria sección 02007,13688,13004,12326,11969,11252,10948,10330,10268,36076,35244,33457,33181,31814,30745,29024,28622,20462,19516,18594,18194,17130,16724,15708,15721,19950,18550,17850,16450,16450,15750,15050,14350,16555,15621,14766,14342,13403,12968,12325,12244
4614702008 Llíria sección 02008,11015,10362,10243,9894,9556,8887,8054,7857,24578,24138,23530,22844,22053,20692,19401,18567,16202,15491,15145,14518,13991,12959,11974,11474,14350,13650,13650,12950,12250,11550,10500,10150,12830,11934,11864,11382,10941,10153,9209,8964
4614702009 Llíria sección 02009,12524,11760,11302,11275,10566,9905,9581,9265,30667,28523,27338,27103,26399,25189,24476,23545,18508,17309,16808,16530,15666,14695,14135,13758,16450,15050,15050,15750,13650,12950,12250,12950,14816,13882,13181,13033,12173,11408,11016,10610
4614702010 Llíria sección 02010,13865,13106,12526,12182,11746,11165,10613,10660,35723,33993,32698,31903,30867,29627,28607,28161,20824,19724,19020,18591,17974,17244,16411,16422,18550,18550,17850,17150,16450,15750,15050,15050,16840,15871,15032,14581,14020,13354,12670,12758
4614702011 Llíria sección 02011,12316,11690,10973,10756,10215,9561,9211,8980,32311,31030,29590,29007,27580,26073,25553,24411,18489,17653,16676,16282,15684,14679,14286,13832,17150,16450,15750,15050,15050,14350,12950,12950,14508,13753,12780,12631,11930,11087,10688,10360
4614702012 Llíria sección 02012,12508,12173,11000,10783,10516,9932,9190,8951,33967,32616,30269,29702,28859,27072,25650,25219,19422,18759,17100,16887,16304,15437,14496,14162,17850,17150,15750,15750,15050,14350,12950,12950,14962,14527,13078,12766,12609,11795,10775,10450
4614702013 Llíria sección 02013,15377,14233,13602,13802,12904,12643,11555,11747,42021,38778,36935,37107,35191,34620,31800,31523,23732,21769,21043,21444,20186,19962,17996,18028,21350,19250,18550,17850,17850,16450,15750,15750,19288,17634,16924,17129,16065,15548,14101,14191
46148 Loriguilla,13432,12759,12177,12050,11652,11298,10559,10534,35812,34069,32231,31698,30464,29325,27620,27333,20739,19668,18889,18306,17661,17353,16337,16034,19250,18550,17850,17150,16450,15750,15050,15050,16258,15283,14609,14246,13706,13305,12534,12315
4614801 Loriguilla distrito 01,13432,12759,12177,12050,11652,11298,10559,10534,35812,34069,32231,31698,30464,29325,27620,27333,20739,19668,18889,18306,17661,17353,16337,16034,19250,18550,17850,17150,16450,15750,15050,15050,16258,15283,14609,14246,13706,13305,12534,12315
4614801001 Loriguilla sección 01001,13432,12759,12177,12050,11652,11298,10559,10534,35812,34069,32231,31698,30464,29325,27620,27333,20739,19668,18889,18306,17661,17353,16337,16034,19250,18550,17850,17150,16450,15750,15050,15050,16258,15283,14609,14246,13706,13305,12534,12315
46149 Losa del Obispo,11698,11009,10166,10370,9856,9494,8732,8579,26595,24993,24020,24279,23296,22693,21625,20284,16923,16004,14906,15034,14312,13829,12884,12458,16450,15050,14350,14350,12950,12950,12250,11550,13316,12511,11503,11736,11200,10763,9871,9664
4614901 Losa del Obispo distrito 01,11698,11009,10166,10370,9856,9494,8732,8579,26595,24993,24020,24279,23296,22693,21625,20284,16923,16004,14906,15034,14312,13829,12884,12458,16450,15050,14350,14350,12950,12950,12250,11550,13316,12511,11503,11736,11200,10763,9871,9664
4614901001 Losa del Obispo sección 01001,11698,11009,10166,10370,9856,9494,8732,8579,26595,24993,24020,24279,23296,22693,21625,20284,16923,16004,14906,15034,14312,13829,12884,12458,16450,15050,14350,14350,12950,12950,12250,11550,13316,12511,11503,11736,11200,10763,9871,9664
46150 Llutxent,10974,10503,10164,9766,9079,8576,8262,7974,29478,28719,27853,27481,25769,24484,23358,22492,16663,16030,15521,15012,14008,13341,12673,12301,15750,15050,15050,14350,13650,12950,12250,11550,12467,11916,11441,10958,10144,9598,9165,8844
4615001 Llutxent distrito 01,10974,10503,10164,9766,9079,8576,8262,7974,29478,28719,27853,27481,25769,24484,23358,22492,16663,16030,15521,15012,14008,13341,12673,12301,15750,15050,15050,14350,13650,12950,12250,11550,12467,11916,11441,10958,10144,9598,9165,8844
4615001001 Llutxent sección 01001,10690,10041,9723,9285,8696,8093,7817,7450,27886,26702,25774,25118,23614,21996,21412,20515,15909,15121,14655,14088,13198,12556,11858,11522,15050,14350,14350,13650,12950,12250,11550,11550,11961,11223,10728,10248,9554,8900,8519,8130
4615001002 Llutxent sección 01002,11278,10794,10542,10170,9435,9081,8849,8726,28195,27089,26643,26696,25477,24430,23448,23063,16752,16051,15654,15214,14266,13605,13205,12941,16450,15750,15400,14350,14350,13650,12600,12250,12714,12103,11740,11311,10442,10130,9815,9700
4615001003 Llutxent sección 01003,10988,10662,10241,9851,9114,8589,8198,7828,31925,31816,30659,30281,27953,26801,25121,23858,17203,16724,16101,15598,14456,13763,12962,12457,15750,15050,15050,14350,13650,12950,12250,10850,12698,12325,11785,11262,10386,9762,9222,8779
46151 Llocnou d'En Fenollet,11923,11061,10653,10080,9454,8930,8321,8015,29237,27669,26867,25919,24276,23403,22488,21952,17811,16490,16137,15237,14252,13528,12793,12372,16450,15750,14700,13650,13650,12250,11550,11550,13949,12849,12324,11725,10818,10185,9539,9099
4615101 Llocnou d'En Fenollet distrito 01,11923,11061,10653,10080,9454,8930,8321,8015,29237,27669,26867,25919,24276,23403,22488,21952,17811,16490,16137,15237,14252,13528,12793,12372,16450,15750,14700,13650,13650,12250,11550,11550,13949,12849,12324,11725,10818,10185,9539,9099
4615101001 Llocnou d'En Fenollet sección 01001,11923,11061,10653,10080,9454,8930,8321,8015,29237,27669,26867,25919,24276,23403,22488,21952,17811,16490,16137,15237,14252,13528,12793,12372,16450,15750,14700,13650,13650,12250,11550,11550,13949,12849,12324,11725,10818,10185,9539,9099
46152 Llocnou de la Corona,11905,11032,10270,9967,9201,9052,8471,7320,31003,28253,27159,26434,22618,22441,22236,19911,18338,17304,15544,14952,13644,13531,12660,11187,17850,15750,14350,14700,11200,10850,10850,8750,14287,12907,11968,11535,10859,10490,9788,8439
4615201 Llocnou de la Corona distrito 01,11905,11032,10270,9967,9201,9052,8471,7320,31003,28253,27159,26434,22618,22441,22236,19911,18338,17304,15544,14952,13644,13531,12660,11187,17850,15750,14350,14700,11200,10850,10850,8750,14287,12907,11968,11535,10859,10490,9788,8439
4615201001 Llocnou de la Corona sección 01001,11905,11032,10270,9967,9201,9052,8471,7320,31003,28253,27159,26434,22618,22441,22236,19911,18338,17304,15544,14952,13644,13531,12660,11187,17850,15750,14350,14700,11200,10850,10850,8750,14287,12907,11968,11535,10859,10490,9788,8439
46153 Llocnou de Sant Jeroni,13012,11966,11237,10702,10081,9620,9195,9272,31800,30339,27866,26731,25088,23356,22734,22613,18991,17486,16375,15710,14716,13960,13501,13468,17150,15050,15050,15050,13650,12950,12950,12950,15239,13841,12844,12215,11466,10885,10363,10414
4615301 Llocnou de Sant Jeroni distrito 01,13012,11966,11237,10702,10081,9620,9195,9272,31800,30339,27866,26731,25088,23356,22734,22613,18991,17486,16375,15710,14716,13960,13501,13468,17150,15050,15050,15050,13650,12950,12950,12950,15239,13841,12844,12215,11466,10885,10363,10414
4615301001 Llocnou de Sant Jeroni sección 01001,13012,11966,11237,10702,10081,9620,9195,9272,31800,30339,27866,26731,25088,23356,22734,22613,18991,17486,16375,15710,14716,13960,13501,13468,17150,15050,15050,15050,13650,12950,12950,12950,15239,13841,12844,12215,11466,10885,10363,10414
46154 Llanera de Ranes,10705,9952,9645,9612,9252,8512,8499,8231,27256,25510,24561,24808,24089,22158,22241,21866,16082,14932,14388,14482,14077,13045,12992,12503,14350,13650,12950,13650,12950,11550,11550,10850,12316,11387,10965,10956,10562,9756,9619,9354
4615401 Llanera de Ranes distrito 01,10705,9952,9645,9612,9252,8512,8499,8231,27256,25510,24561,24808,24089,22158,22241,21866,16082,14932,14388,14482,14077,13045,12992,12503,14350,13650,12950,13650,12950,11550,11550,10850,12316,11387,10965,10956,10562,9756,9619,9354
4615401001 Llanera de Ranes sección 01001,10705,9952,9645,9612,9252,8512,8499,8231,27256,25510,24561,24808,24089,22158,22241,21866,16082,14932,14388,14482,14077,13045,12992,12503,14350,13650,12950,13650,12950,11550,11550,10850,12316,11387,10965,10956,10562,9756,9619,9354
46155 Llaurí,11911,11067,10638,10477,9688,9082,8551,8251,25866,24347,23502,23096,21569,20758,19742,19105,17140,15900,15372,15066,14185,13183,12334,11906,15750,14350,13650,13650,12250,11550,11550,10850,13742,12627,12082,11875,10962,10184,9563,9217
4615501 Llaurí distrito 01,11911,11067,10638,10477,9688,9082,8551,8251,25866,24347,23502,23096,21569,20758,19742,19105,17140,15900,15372,15066,14185,13183,12334,11906,15750,14350,13650,13650,12250,11550,11550,10850,13742,12627,12082,11875,10962,10184,9563,9217
4615501001 Llaurí sección 01001,11911,11067,10638,10477,9688,9082,8551,8251,25866,24347,23502,23096,21569,20758,19742,19105,17140,15900,15372,15066,14185,13183,12334,11906,15750,14350,13650,13650,12250,11550,11550,10850,13742,12627,12082,11875,10962,10184,9563,9217
46156 Llombai,12151,11473,11182,10996,10124,9549,9072,8786,30667,29171,28638,28157,26443,25366,24037,23651,18207,17265,16906,16612,15411,14658,13870,13478,17150,15750,15050,15050,14350,13650,12250,12250,14289,13509,13107,12824,11744,11021,10417,10087
4615601 Llombai distrito 01,12151,11473,11182,10996,10124,9549,9072,8786,30667,29171,28638,28157,26443,25366,24037,23651,18207,17265,16906,16612,15411,14658,13870,13478,17150,15750,15050,15050,14350,13650,12250,12250,14289,13509,13107,12824,11744,11021,10417,10087
4615601001 Llombai sección 01001,11986,11256,10810,10484,9935,9412,8972,8839,30224,28128,27520,26612,25431,24425,23447,23473,17929,16812,16200,15690,14853,14169,13500,13451,16450,15050,14350,14350,13650,12250,12250,12250,13965,13108,12517,12057,11371,10708,10188,10033
4615601002 Llombai sección 01002,12293,11655,11505,11440,10288,9669,9160,8739,31047,30071,29622,29523,27358,26226,24571,23814,18446,17644,17520,17420,15899,15086,14197,13502,17150,16450,15750,15750,14350,14350,12950,12250,14567,13844,13619,13492,12070,11294,10619,10136
46157 Llosa de Ranes, la,11772,11183,10562,10478,9704,9277,8740,8403,29062,27711,26518,26163,24088,23186,22110,21458,17479,16610,15703,15645,14537,13915,13056,12598,15750,15050,14350,14350,12950,12250,11550,11550,13709,12967,12185,12053,11113,10594,9989,9596
4615701 Llosa de Ranes, la distrito 01,11772,11183,10562,10478,9704,9277,8740,8403,29062,27711,26518,26163,24088,23186,22110,21458,17479,16610,15703,15645,14537,13915,13056,12598,15750,15050,14350,14350,12950,12250,11550,11550,13709,12967,12185,12053,11113,10594,9989,9596
4615701001 Llosa de Ranes, la sección 01001,11862,11159,10519,10221,9495,9128,8688,8235,28487,26933,25601,24781,22850,22139,21436,20587,17421,16484,15459,15052,14085,13533,12795,12202,16450,15050,14350,13650,12950,12250,11550,10850,13664,12810,12021,11625,10756,10340,9820,9283
4615701002 Llosa de Ranes, la sección 01002,11669,11209,10609,10768,9939,9447,8798,8596,29758,28626,27586,27822,25570,24459,22922,22499,17547,16751,15970,16320,15041,14349,13355,13048,15750,15750,14350,14350,12950,12950,11550,11550,13761,13141,12364,12536,11514,10884,10182,9953
46158 Macastre,12229,11599,11163,10847,10171,9687,9225,9331,28427,26886,25703,25069,23492,22291,21905,22180,17806,16818,16143,15637,14799,14245,13711,13616,15750,15750,14350,13650,12950,12250,12250,12250,14286,13443,12839,12443,11692,11148,10653,10710
4615801 Macastre distrito 01,12229,11599,11163,10847,10171,9687,9225,9331,28427,26886,25703,25069,23492,22291,21905,22180,17806,16818,16143,15637,14799,14245,13711,13616,15750,15750,14350,13650,12950,12250,12250,12250,14286,13443,12839,12443,11692,11148,10653,10710
4615801001 Macastre sección 01001,12229,11599,11163,10847,10171,9687,9225,9331,28427,26886,25703,25069,23492,22291,21905,22180,17806,16818,16143,15637,14799,14245,13711,13616,15750,15750,14350,13650,12950,12250,12250,12250,14286,13443,12839,12443,11692,11148,10653,10710
46159 Manises,11924,11184,10630,10604,10065,9470,9082,8819,31068,29033,27863,27963,26529,25155,24089,23419,17890,16779,15981,15999,15239,14389,13797,13408,16450,15050,15050,15050,14350,12950,12250,12250,14020,13117,12380,12345,11697,10967,10493,10157
4615901 Manises distrito 01,12070,11388,10855,10742,10214,9572,9177,8968,30613,28933,27882,27807,26589,25192,24226,23825,17831,16892,16062,15963,15284,14412,13770,13507,16450,15750,15050,15050,14350,13650,12250,12250,14102,13384,12565,12429,11761,11050,10564,10282
4615901001 Manises sección 01001,11801,11179,10645,10470,10135,9239,8558,8375,29365,28068,27623,27393,26145,24267,22864,22417,17319,16420,15788,15668,15185,13956,13031,12764,16450,15750,15050,15050,15050,13650,12250,12250,13648,12819,12122,11934,11488,10453,9656,9417
4615901002 Manises sección 01002,12157,11825,11080,10816,10147,9428,8993,8673,30442,29959,27967,27728,26472,24662,23536,22782,17858,17374,16305,16108,15160,14126,13393,12943,17150,15750,15750,15050,14350,12950,12250,12250,14068,13723,12812,12441,11635,10843,10308,9911
4615901003 Manises sección 01003,13664,12450,12397,12154,11696,11095,10917,10903,34966,31457,31576,31051,29743,28627,28335,28426,20364,18832,18335,17878,17403,16631,16363,16308,18550,17150,16450,15750,15750,15050,15050,14350,16459,15390,14722,14484,13818,13195,12920,12845
4615901004 Manises sección 01004,10791,10275,9514,9650,9090,8629,8229,7949,27721,26463,24795,25295,24222,23221,22028,21548,15938,15151,14131,14397,13687,13077,12341,12073,15750,14350,13650,13650,12950,12250,11550,11550,12362,11743,10827,10973,10318,9796,9327,8966
4615902 Manises distrito 02,12434,11706,11177,11072,10531,9913,9548,9298,32269,30280,29228,29269,27648,26195,25367,24834,18618,17555,16739,16666,15865,15040,14504,14097,17150,15750,15050,15050,14350,13650,12950,12950,14725,13804,13110,12978,12308,11550,11105,10796
4615902001 Manises sección 02001,15146,14205,13105,12796,11996,10974,10343,10201,35485,32789,30894,31390,29529,27851,25424,24836,22256,20760,19119,18715,17833,16342,15273,14943,19250,17150,16450,16450,15750,14350,12950,12250,18494,17151,15673,15343,14320,12978,12175,12038
4615902002 Manises sección 02002,12059,11663,11713,11445,10557,9942,9819,9817,28878,27162,26790,26452,24241,23551,23356,23662,17516,16896,17003,16460,15276,14692,14437,14385,15400,15050,15050,14350,12250,12950,12950,11550,14248,13766,13801,13449,12361,11564,11416,11366
4615902003 Manises sección 02003,11978,10897,10306,10510,9978,9262,8714,8310,31692,29221,27568,28075,26390,25160,24148,23352,17990,16571,15522,15725,14985,14215,13377,12723,17150,15750,15050,15050,14350,13650,12250,12250,13786,12566,11744,11982,11374,10538,9876,9377
4615902004 Manises sección 02004,12182,11461,10937,10734,10355,9617,9356,9177,32860,30895,29890,29188,27775,25760,25222,24982,18407,17225,16408,16244,15528,14470,14234,13971,16450,15750,14350,14350,13650,12950,12950,12600,14427,13497,12807,12548,12075,11224,10923,10665
4615902005 Manises sección 02005,11221,10718,10155,10208,9709,9275,8753,8479,28702,27466,26394,26925,25345,24135,23012,22065,16582,16006,15116,15295,14529,13993,13123,12667,15050,15050,14350,14350,13650,12950,12250,11550,13083,12465,11730,11810,11144,10649,9973,9693
4615902006 Manises sección 02006,12537,11737,11215,10986,10629,9798,9591,9424,32613,30109,28886,29333,28213,25753,25820,25679,19118,17453,16675,16571,16087,14959,14639,14456,17150,15750,15050,15050,14350,12950,12950,12250,15083,13814,13489,12897,12604,11571,11279,11087
4615902007 Manises sección 02007,12930,11941,11548,11556,11025,10510,10340,10073,35613,32982,32527,32633,30759,29349,29016,28221,19867,18571,17978,18223,17322,16470,16305,15767,18550,16450,16450,16450,15750,15050,14350,14350,15648,14413,13754,13749,13101,12460,12284,11904
4615902008 Manises sección 02008,12543,12017,11455,11211,10671,10291,9936,9578,33268,31798,30972,30599,29199,27976,27127,26505,18758,18049,17248,16983,16164,15622,15147,14634,17150,16450,16450,15750,15050,14350,13650,13650,14685,14098,13373,13207,12478,11979,11582,11156
4615903 Manises distrito 03,11499,10722,10139,10203,9660,9101,8695,8392,30432,28188,26878,27102,25686,24375,23089,22185,17406,16181,15408,15540,14766,13907,13294,12847,15750,15050,14350,14350,13650,12950,12250,11550,13488,12510,11779,11852,11227,10506,10011,9622
4615903001 Manises sección 03001,7682,7090,6727,6607,6405,6067,5882,5902,19672,18274,17109,17021,15948,15638,14829,14575,11453,10336,9829,9680,9327,8819,8686,8550,10150,8750,8050,8050,8050,8050,7350,7350,8512,7796,7328,7242,7029,6671,6428,6439
4615903002 Manises sección 03002,11038,10287,9711,9867,9312,9057,8366,8170,28236,26252,24612,24931,22821,22452,20689,20680,16203,15051,14329,14719,13796,13141,12245,12044,15750,14350,12950,13650,12250,11550,11550,10850,12668,11787,11056,11351,10671,10240,9499,9195
4615903003 Manises sección 03003,12441,11393,10582,10695,10003,9430,9042,8537,32813,29825,28451,28879,27056,25965,24427,22992,19024,17262,16384,16234,15455,14496,13937,13246,17150,15750,15050,14350,14350,12950,12950,11550,14755,13391,12563,12523,11922,10966,10517,9863
4615903004 Manises sección 03004,10862,10591,10039,10252,9749,9006,8637,8353,27542,26185,25128,25655,24460,22764,21639,21032,16074,15679,14981,15195,14558,13372,12892,12396,15050,14350,14350,14350,13650,12250,12250,11550,12439,12123,11406,11800,11088,10218,9766,9481
4615903005 Manises sección 03005,8993,8555,7998,8052,7534,7011,6741,6520,23563,21674,20306,20462,18777,17760,17249,16683,13266,12462,11672,11865,10924,10332,9782,9637,12250,10850,10850,10850,10150,10150,9450,8750,10095,9507,8813,8891,8319,7778,7411,7163
4615903006 Manises sección 03006,11030,10571,10187,10084,9368,9290,8737,8256,27275,25965,24852,25099,24072,23046,21694,20612,16072,15405,14897,14918,13974,13712,12787,12141,15050,14350,13650,13650,12950,12250,11550,10850,12648,12027,11527,11449,10640,10564,9896,9271
4615903007 Manises sección 03007,11263,10827,10402,10293,9738,9232,9005,8911,27745,25573,24927,24245,23275,22530,21646,21902,16600,15754,15045,14955,14091,13378,13072,13032,15750,14350,13650,13650,12950,12250,11550,11550,13037,12455,11969,11766,11046,10430,10155,10018
4615903008 Manises sección 03008,12073,11069,10583,10775,10110,9516,9071,8783,34956,32147,30867,31311,29590,27972,26459,25212,18918,17362,16649,17141,16055,15215,14487,14084,17850,16450,15750,16450,15050,14350,13650,12950,14448,13156,12513,12706,11922,11183,10639,10255
4615903009 Manises sección 03009,13864,12688,11905,11871,11478,10571,10155,9933,38055,35617,34021,33955,32964,30506,29112,27784,21254,19649,18487,18570,18059,16773,16138,15660,19250,18550,17150,17150,16450,15750,15050,14350,16785,15398,14261,14264,13733,12597,12057,11759
46160 Manuel,11824,11298,10816,10982,10130,9688,9345,8753,29560,28651,27288,27541,25436,24709,24087,22191,17439,16746,16153,16320,15050,14439,13930,13015,15750,15050,14350,14350,13650,12950,12250,11550,13698,13048,12487,12786,11668,11172,10833,10070
4616001 Manuel distrito 01,11824,11298,10816,10982,10130,9688,9345,8753,29560,28651,27288,27541,25436,24709,24087,22191,17439,16746,16153,16320,15050,14439,13930,13015,15750,15050,14350,14350,13650,12950,12250,11550,13698,13048,12487,12786,11668,11172,10833,10070
4616001001 Manuel sección 01001,12376,11708,11237,11531,10695,10325,10055,9301,31442,30137,28974,29303,27102,26416,26069,23604,18323,17475,16892,17203,15886,15407,15074,13939,17150,15750,15050,15050,14350,13650,12950,12250,14526,13685,13145,13652,12461,12064,11851,10881
4616001002 Manuel sección 01002,10479,10296,9782,9681,8826,8240,7788,7556,25219,25196,23437,23544,21707,20868,19820,19114,15281,14966,14314,14201,13094,12214,11417,10996,14350,14350,12950,13650,12250,10850,10850,10850,11682,11492,10870,10734,9837,9144,8601,8299
46161 Marines,12708,12003,11649,11437,10742,10159,10040,9422,31827,30441,29203,28632,27002,25616,25375,24269,19044,18075,17296,17121,16111,15097,14893,14092,17850,17150,16450,16450,15050,13650,13650,12950,14889,13996,13522,13274,12442,11745,11623,10831
4616101 Marines distrito 01,12708,12003,11649,11437,10742,10159,10040,9422,31827,30441,29203,28632,27002,25616,25375,24269,19044,18075,17296,17121,16111,15097,14893,14092,17850,17150,16450,16450,15050,13650,13650,12950,14889,13996,13522,13274,12442,11745,11623,10831
4616101001 Marines sección 01001,12708,12003,11649,11437,10742,10159,10040,9422,31827,30441,29203,28632,27002,25616,25375,24269,19044,18075,17296,17121,16111,15097,14893,14092,17850,17150,16450,16450,15050,13650,13650,12950,14889,13996,13522,13274,12442,11745,11623,10831
46162 Massalavés,10730,10129,9837,9932,9178,8585,8618,8506,26763,24914,23851,24340,22559,21022,21257,20663,15809,14969,14537,14691,13784,12553,12614,12426,15050,13650,13650,13650,12250,11550,11550,10850,12370,11649,11207,11325,10592,9766,9753,9681
4616201 Massalavés distrito 01,10730,10129,9837,9932,9178,8585,8618,8506,26763,24914,23851,24340,22559,21022,21257,20663,15809,14969,14537,14691,13784,12553,12614,12426,15050,13650,13650,13650,12250,11550,11550,10850,12370,11649,11207,11325,10592,9766,9753,9681
4616201001 Massalavés sección 01001,10730,10129,9837,9932,9178,8585,8618,8506,26763,24914,23851,24340,22559,21022,21257,20663,15809,14969,14537,14691,13784,12553,12614,12426,15050,13650,13650,13650,12250,11550,11550,10850,12370,11649,11207,11325,10592,9766,9753,9681
46163 Massalfassar,15156,14330,13781,13615,12887,12482,11978,11872,37715,35466,34116,33553,31636,30662,29476,29276,22743,21465,20819,20599,19540,18891,18123,17978,21350,19950,18550,19250,17850,17850,16450,16450,18633,17474,16771,16482,15531,14994,14375,14182
4616301 Massalfassar distrito 01,15156,14330,13781,13615,12887,12482,11978,11872,37715,35466,34116,33553,31636,30662,29476,29276,22743,21465,20819,20599,19540,18891,18123,17978,21350,19950,18550,19250,17850,17850,16450,16450,18633,17474,16771,16482,15531,14994,14375,14182
4616301001 Massalfassar sección 01001,15156,14330,13781,13615,12887,12482,11978,11872,37715,35466,34116,33553,31636,30662,29476,29276,22743,21465,20819,20599,19540,18891,18123,17978,21350,19950,18550,19250,17850,17850,16450,16450,18633,17474,16771,16482,15531,14994,14375,14182
46164 Massamagrell,12275,11591,11158,10925,10334,9842,9405,9212,32579,30528,29307,29056,27358,26063,24978,24291,18626,17565,16953,16667,15758,15045,14353,14033,17150,15750,15050,15050,14350,13650,12950,12250,14492,13605,13050,12743,12053,11433,10887,10622
4616401 Massamagrell distrito 01,12275,11591,11158,10925,10334,9842,9405,9212,32579,30528,29307,29056,27358,26063,24978,24291,18626,17565,16953,16667,15758,15045,14353,14033,17150,15750,15050,15050,14350,13650,12950,12250,14492,13605,13050,12743,12053,11433,10887,10622
4616401001 Massamagrell sección 01001,12791,11998,11484,11442,10743,10180,9791,9780,33885,31432,30188,30381,28833,27101,25758,25416,19364,18115,17381,17452,16520,15656,15050,14924,17850,16450,15750,15750,15050,13650,13650,13650,15404,14226,13545,13531,12683,11990,11528,11446
4616401002 Massamagrell sección 01002,12759,11945,11469,11022,10552,10151,9603,9304,34445,32754,31518,31126,29646,28471,27297,26326,19405,18299,17855,17202,16431,15900,15061,14476,17850,16450,15750,15750,15050,13650,13650,12950,15291,14224,13741,13137,12565,12140,11202,10819
4616401003 Massamagrell sección 01003,12273,11959,11539,11272,10750,10119,9782,9514,30049,29189,27962,27352,25928,24472,23489,22707,18147,17619,16893,16590,15747,14782,14300,14089,15750,15750,15050,15750,14350,13650,12950,12950,14341,13892,13417,12899,12323,11549,11177,10874
4616401004 Massamagrell sección 01004,12291,11688,11263,10983,10290,9951,9580,9487,34115,31595,30047,29568,27411,26256,25513,24879,19321,18137,17593,17159,16075,15576,14873,14624,17850,17150,15050,15050,14350,13650,12950,12950,14817,13818,13396,12915,12050,11618,11201,11037
4616401005 Massamagrell sección 01005,10336,9593,9253,8946,8491,7796,7385,6993,25899,23790,22893,22309,20806,19788,18561,17376,15290,14146,13700,13124,12319,11538,10878,10412,14350,13650,12250,12250,11550,10850,9800,9450,11717,10893,10471,10062,9488,8664,8171,7716
